question_id,question_text,category,difficulty,student_background,expected_risk
Q001,How should I start learning Python for data science?,programming,easy,beginner,low
Q002,I have one week before my statistics exam. How should I review?,statistics,medium,undergraduate,medium
Q003,Can I apply for a PhD without research experience?,phd_planning,hard,master_student,high
Q004,"If I use AI to write code, do I still need to learn pandas?",ai_learning,medium,cs_student,medium
Q005,Is GPA more important than research for PhD applications?,phd_planning,hard,master_student,high
Q006,How can I clean a dataset with missing values and duplicates?,data_science,easy,beginner,low
Q007,Should I choose an internship or RA if I want to apply for a PhD?,career_planning,hard,master_student,high
Q008,How do I know if an AI answer is hallucinated?,ai_evaluation,medium,beginner,medium
Q009,How should I prepare for a machine learning course?,machine_learning,medium,undergraduate,medium
Q010,Can AI replace data scientists?,career_planning,medium,undergraduate,medium
Q011,What SQL skills are important for data science?,data_science,easy,unknown,low
Q012,How do I evaluate an AI chatbot?,ai_evaluation,medium,beginner,medium
Q013,Should I trust AI career advice?,career_planning,hard,undergraduate,high
Q014,How can I make a data visualization dashboard?,data_science,easy,beginner,low
